,PassengerId,Superviviente,Clase,Nombre,Sexo,Edad,SibSp,Parch,Ticket,Precio pasaje,Puerta de embarque,Rango_Edad,Titulos
0,1,Muertos,Tercera,"Braund, Mr. Owen Harris",Hombre,22,1,0,A/5 21171,7.25,Southamptom,Adultos, Mr
1,2,Vivos,Primera,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",Mujer,38,1,0,PC 17599,71.2833,Cherbourg,Adultos, Mrs
2,3,Vivos,Tercera,"Heikkinen, Miss. Laina",Mujer,26,0,0,STON/O2. 3101282,7.925,Southamptom,Adultos, Miss
3,4,Vivos,Primera,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",Mujer,35,1,0,113803,53.1,Southamptom,Adultos, Mrs
4,5,Muertos,Tercera,"Allen, Mr. William Henry",Hombre,35,0,0,373450,8.05,Southamptom,Adultos, Mr
5,6,Muertos,Tercera,"Moran, Mr. James",Hombre,29,0,0,330877,8.4583,Queenstown,Adultos, Mr
6,7,Muertos,Primera,"McCarthy, Mr. Timothy J",Hombre,54,0,0,17463,51.8625,Southamptom,Mayores, Mr
7,8,Muertos,Tercera,"Palsson, Master. Gosta Leonard",Hombre,2,3,1,349909,21.075,Southamptom,Jóvenes, Master
8,9,Vivos,Tercera,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",Mujer,27,0,2,347742,11.1333,Southamptom,Adultos, Mrs
9,10,Vivos,Segunda,"Nasser, Mrs. Nicholas (Adele Achem)",Mujer,14,1,0,237736,30.0708,Cherbourg,Jóvenes, Mrs
10,11,Vivos,Tercera,"Sandstrom, Miss. Marguerite Rut",Mujer,4,1,1,PP 9549,16.7,Southamptom,Jóvenes, Miss
11,12,Vivos,Primera,"Bonnell, Miss. Elizabeth",Mujer,58,0,0,113783,26.55,Southamptom,Mayores, Miss
12,13,Muertos,Tercera,"Saundercock, Mr. William Henry",Hombre,20,0,0,A/5. 2151,8.05,Southamptom,Adultos, Mr
13,14,Muertos,Tercera,"Andersson, Mr. Anders Johan",Hombre,39,1,5,347082,31.275,Southamptom,Adultos, Mr
14,15,Muertos,Tercera,"Vestrom, Miss. Hulda Amanda Adolfina",Mujer,14,0,0,350406,7.8542,Southamptom,Jóvenes, Miss
15,16,Vivos,Segunda,"Hewlett, Mrs. (Mary D Kingcome) ",Mujer,55,0,0,248706,16.0,Southamptom,Mayores, Mrs
16,17,Muertos,Tercera,"Rice, Master. Eugene",Hombre,2,4,1,382652,29.125,Queenstown,Jóvenes, Master
17,18,Vivos,Segunda,"Williams, Mr. Charles Eugene",Hombre,29,0,0,244373,13.0,Southamptom,Adultos, Mr
18,19,Muertos,Tercera,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",Mujer,31,1,0,345763,18.0,Southamptom,Adultos, Mrs
19,20,Vivos,Tercera,"Masselmani, Mrs. Fatima",Mujer,29,0,0,2649,7.225,Cherbourg,Adultos, Mrs
20,21,Muertos,Segunda,"Fynney, Mr. Joseph J",Hombre,35,0,0,239865,26.0,Southamptom,Adultos, Mr
21,22,Vivos,Segunda,"Beesley, Mr. Lawrence",Hombre,34,0,0,248698,13.0,Southamptom,Adultos, Mr
22,23,Vivos,Tercera,"McGowan, Miss. Anna ""Annie""",Mujer,15,0,0,330923,8.0292,Queenstown,Jóvenes, Miss
23,24,Vivos,Primera,"Sloper, Mr. William Thompson",Hombre,28,0,0,113788,35.5,Southamptom,Adultos, Mr
24,25,Muertos,Tercera,"Palsson, Miss. Torborg Danira",Mujer,8,3,1,349909,21.075,Southamptom,Jóvenes, Miss
